,number of times in sample,structure
0,4033719,[]
1,2456392,[_[]_]
2,628959,[][]
3,625109,[_[]]
4,618800,[[]_]
5,222205,[_[_[]_]_]
6,91994,[_[_[]]_]
7,91549,[_[[]_]_]
8,91001,[_[_[]_]]
9,89592,[[_[]_]_]
10,38808,[_[_[]]]
11,38000,[[[]_]_]
12,28973,[[_[]]_]
13,28480,[_[[]_]]
14,20762,[][_[]_]
15,19509,[_[]_][]
16,10750,[_[]][]
17,10729,[][[]_]
18,10649,[][_[]]
19,10495,[[]_][]
20,1969,[_[_[_[]_]_]_]
21,1485,[_[[_[]_]_]_]
22,1433,[_[_[_[]_]]_]
23,1329,[_[_[_[]_]_]]
24,1314,[_[_[[]_]_]_]
25,1288,[_[_[_[]]_]_]
26,1243,[[_[_[]_]_]_]
27,988,[_[_[_[]_]]]
28,976,[_[[[]_]_]_]
29,929,[_[_[_[]]]_]
30,837,[[[_[]_]_]_]
31,800,[[_[[]_]_]_]
32,796,[_[_[[]_]_]]
33,731,[_[_[_[]]_]]
34,709,[[_[_[]]_]_]
35,684,[_[_[[]_]]_]
36,683,[_[[_[]_]_]]
37,680,[[_[_[]_]]_]
38,672,[_[[_[]]_]_]
39,563,[[[[]_]_]_]
40,557,[_[_[_[]]]]
41,466,[_[[[]_]_]]
42,419,[_[_[[]_]]]
43,407,[[][]]
44,402,[[_[_[]]]_]
45,396,[[[_[]]_]_]
46,280,[[_[[]_]]_]
47,276,[_[[_[]]_]]
48,63,[][][]
49,50,[_[]_][_[]_]
50,48,[_[]][_[]_]
51,40,[_[]_][_[]]
52,36,[][_[[]_]_]
53,35,[][_[_[]]_]
54,29,[][_[_[]_]_]
55,29,[_[]_][[]_]
56,29,[[]_][_[]_]
57,26,[[]_][[]_]
58,25,[_[[]_]][]
59,25,[[]_][_[]]
60,24,[_[_[]]_][]
61,23,[][[_[]_]_]
62,22,[_[]][_[]]
63,22,[][_[_[]_]]
64,20,[[_[]_]_][]
65,20,[_[_[]_]][]
66,18,[_[]][[]_]
67,17,[][_[_[]]]
68,17,[_[_[]]][]
69,16,[_[_[]_]_][]
70,16,[][[[]_]_]
71,15,[][[_[]]_]
72,13,[[_[]]_][]
73,13,[][_[[]_]]
74,11,[_[[]_]_][]
75,10,[[[]_]_][]
76,3,[[[[[]_]_]_]_]
77,2,[[[_[[]_]_]_]_]
78,2,[[_[_[_[]_]]]_]
79,2,[_[_[[_[]]_]_]_]
80,2,[[_[_[[]_]]]_]
81,2,[_[_[_[_[]]]_]]
82,1,[_[[_[_[]_]]_]_]
83,1,[_[_[_[[]_]]]_]
84,1,[_[_[[[]_]_]_]]
85,1,[_[_[_[_[]_]_]]_]
86,1,[[_[[_[]_]_]_]_]
87,1,[[[[_[]]_]_]_]
88,1,[_[[[[]_]_]_]_]
89,1,[_[_[[_[]_]_]]_]
90,1,[_[_[[[]_]_]_]_]
91,1,[_[_[_[[]_]_]]_]
92,1,[_[[_[_[]]_]_]]
93,1,[_[_[_[_[]]_]]]
94,1,[_[_[_[_[]]]]_]
95,1,[[][_[]_]]
96,1,[_[[_[_[]]]_]_]
97,1,[_[[][]]_]
98,1,[[[][]]_]
